transaction_id,customer_id,amount,timestamp,location,fraud_flag
TXN000001,CUST0103,1117.45,2024-01-01 00:00:37,Kolkata,1
TXN000002,CUST0436,2185.85,2024-01-01 00:03:29,Hyderabad,1
TXN000003,CUST0349,17794.36,2024-01-01 00:53:16,Bangalore,1
TXN000004,CUST0271,3452.37,2024-01-01 00:53:32,Mumbai,0
TXN000005,CUST0107,13021.89,2024-01-01 00:54:45,Bangalore,0
TXN000006,CUST0072,2412.02,2024-01-01 00:57:00,Jaipur,1
TXN000007,CUST0189,440.26,2024-01-01 01:12:11,Mumbai,0
TXN000008,CUST0021,5651.59,2024-01-01 01:17:57,Hyderabad,0
TXN000009,CUST0103,17940.78,2024-01-01 01:18:14,Chennai,0
TXN000010,CUST0122,13786.65,2024-01-01 01:30:35,Pune,1
TXN000011,CUST0467,2432.87,2024-01-01 02:03:19,Delhi,1
TXN000012,CUST0215,19357.86,2024-01-01 02:26:38,Chennai,1
TXN000013,CUST0331,5327.04,2024-01-01 02:55:14,Jaipur,1
TXN000014,CUST0459,501.92,2024-01-01 03:03:29,Hyderabad,1
TXN000015,CUST0088,326.58,2024-01-01 03:03:37,Ahmedabad,0
TXN000016,CUST0373,5410.47,2024-01-01 03:22:00,Delhi,1
TXN000017,CUST0100,283461.99,2024-01-24 17:11:03,Jaipur,1
TXN000018,CUST0360,766.3,2024-01-01 03:34:39,Kolkata,1
TXN000019,CUST0152,20533.09,2024-01-01 03:35:38,Kolkata,0
TXN000020,CUST0131,10232.94,2024-01-01 04:00:29,Delhi,0
TXN000021,CUST0150,13026.96,2024-01-01 04:12:21,Ahmedabad,0
TXN000022,CUST0309,7117.01,2024-01-01 04:19:48,Jaipur,0
TXN000023,CUST0258,8814.3,2024-01-01 04:42:19,Surat,0
TXN000024,CUST0344,4026.36,2024-01-01 05:19:16,Hyderabad,0
TXN000025,CUST0492,9197.92,2024-01-01 05:59:36,Bangalore,0
TXN000026,CUST0414,30700.49,2024-01-01 06:15:51,Bangalore,0
TXN000027,CUST0294,8446.54,2024-01-01 06:21:13,Pune,0
TXN000028,CUST0386,3443.95,2024-01-01 06:23:15,Mumbai,0
TXN000029,CUST0192,2786.46,2024-01-01 06:29:42,Surat,0
TXN000030,CUST0444,26549.85,2024-01-01 06:30:46,Jaipur,0
TXN000031,CUST0277,1736.56,2024-01-11 12:04:12,Pune,1
TXN000032,CUST0161,13227.29,2024-01-01 07:13:34,Jaipur,0
TXN000033,CUST0460,5107.83,2024-01-01 07:15:19,Bangalore,0
TXN000034,CUST0314,4792.44,2024-01-01 07:21:45,Surat,0
TXN000035,CUST0022,11111.95,2024-02-15 04:42:10,Bangalore,1
TXN000036,CUST0253,1381.71,2024-01-01 07:41:30,Surat,0
TXN000037,CUST0236,5123.31,2024-01-01 07:46:44,Kolkata,0
TXN000038,CUST0345,241276.34,2024-01-01 08:04:52,Kolkata,0
TXN000039,CUST0049,8979.17,2024-01-01 08:16:17,Chennai,0
TXN000040,CUST0475,581.2,2024-01-01 08:18:02,Ahmedabad,0
TXN000041,CUST0059,246951.39,2024-01-01 08:42:26,Delhi,0
TXN000042,CUST0170,15005.69,2024-01-01 08:45:41,Mumbai,0
TXN000043,CUST0476,4780.88,2024-01-01 09:22:14,Mumbai,0
TXN000044,CUST0188,1894.91,2024-01-01 10:00:51,Delhi,0
